category_l1_name_en,Bikes,"Books, Sports & Hobbies",Electronics & Appliances,Fashion,Furniture,Jobs,Mobiles,Pets,Properties,Services,Used Cars
Bikes,801867,42097,314401,62860,182737,115082,489064,14085,303228,12912,1159197
"Books, Sports & Hobbies",439273,51214,273145,57546,157259,78191,355494,10172,230867,11516,732243
Electronics & Appliances,621188,45124,380119,68795,212608,124892,510262,14337,339576,14187,1100765
Fashion,465556,38420,272056,76227,171050,93511,395887,10317,269830,11267,768529
Furniture,507419,40264,310649,64146,241366,106532,378547,14244,333201,13154,923842
Jobs,335001,24902,180660,40159,106605,167055,251430,5865,230963,11157,589400
Mobiles,621555,42728,325120,65752,175536,117831,644864,13858,298169,12628,1006676
Pets,55405,7475,55341,11487,28827,11368,46689,18285,40329,4015,103205
Properties,565064,41437,307648,64933,195791,132669,429888,12112,448293,13916,1064981
Services,157479,19478,148545,27752,73771,64870,118214,6362,136849,16378,374725
Used Cars,656415,40101,311519,61931,182973,112732,451555,12234,327520,13700,1431322
